Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00914	GC_00000877, GC_00002829	0.9091	KEGG_Module	No	0
Coenzyme M biosynthesis	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00358	GC_00001045, GC_00002584, GC_00003183	0.9091	KEGG_Module	No	0
Cytochrome c oxidase	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00154	GC_00001027, GC_00001130, GC_00001205	0.9091	KEGG_Module	No	0
Ectoine biosynthesis, aspartate => ectoine	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00033	GC_00001010, GC_00001808	0.9091	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00001!!!M00002!!!M00003!!!M00165!!!M00166!!!M00611!!!M00612	GC_00000241	0.9091	KEGG_Module	No	0
Heme biosynthesis, plants and bacteria, glutamate => heme	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00121	GC_00000948	0.9091	KEGG_Module	No	0
Inosine monophosphate biosynthesis, PRPP + glutamine => IMP!!!Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00048!!!M00049	GC_00000976	0.9091	KEGG_Module	No	0
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00031	GC_00000917	0.9091	KEGG_Module	No	0
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00016	GC_00001003, GC_00002412	0.9091	KEGG_Module	No	0
Methanogenesis, acetate => methane!!!Methanogen	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00357!!!M00617	GC_00000011, GC_00001943, GC_00002892	0.9091	KEGG_Module	No	0
NADH:quinone oxidoreductase, prokaryotes	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00144	GC_00000493, GC_00000863, GC_00000880, GC_00000907, GC_00000918, GC_00000950, GC_00000960, GC_00002657	0.9091	KEGG_Module	No	0
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00878	GC_00000755, GC_00002709	0.9091	KEGG_Module	No	0
Proline biosynthesis, glutamate => proline	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00015	GC_00000971	0.9091	KEGG_Module	No	0
PRPP biosynthesis, ribose 5P => PRPP	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00005	GC_00000310	0.9091	KEGG_Module	No	0
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00846!!!M00121!!!M00926	GC_00000768, GC_00001167	0.9091	KEGG_Module	No	0
