Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]	2.75778916902892	0.251856805652167	1	MAG00006, rest	K18124	GC_00001314	0.7273	KOfam	No	0
PmbA protein	2.75778916902892	0.251856805652167	1	MAG00006, rest	K03592	GC_00001114	0.7273	KOfam	No	0
stage II sporulation protein M	2.75778916902892	0.251856805652167	1	Ferroplasma_c, rest	K06384	GC_00001288	0.7273	KOfam	No	0
cysteine synthase [EC:2.5.1.47]	2.75778916902892	0.251856805652167	1	Ferroplasma_c, rest	K01738	GC_00001252	0.7273	KOfam	No	0
histidine ammonia-lyase [EC:4.3.1.3]	2.75778916902892	0.251856805652167	1	Ferroplasma_c, rest	K01745	GC_00001267	0.7273	KOfam	No	0
proline racemase [EC:5.1.1.4]	2.75778916902892	0.251856805652167	1	Ferroplasma_c, rest	K01777	GC_00001264	0.7273	KOfam	No	0
arsenite methyltransferase [EC:2.1.1.137]	2.75778916902892	0.251856805652167	1	Ferroplasma_c, rest	K07755	GC_00001099	0.7273	KOfam	No	0
beta-lactamase class A [EC:3.5.2.6]	2.75778916902892	0.251856805652167	1	MAG00006	K17836	GC_00001707	0.2727	KOfam	No	0
gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]	2.75778916902892	0.251856805652167	1	MAG00006	K20742	GC_00001258	0.2727	KOfam	No	0
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]	2.75778916902892	0.251856805652167	1	MAG00006	K07259	GC_00001713	0.2727	KOfam	No	0
putative DNA-invertase from lambdoid prophage Rac	2.75778916902892	0.251856805652167	1	Ferroplasma_c	K14060	GC_00002507, GC_00002633	0.2727	KOfam	No	0
GDPmannose 4,6-dehydratase [EC:4.2.1.47]	2.75778916902892	0.251856805652167	1	Ferroplasma_c	K01711	GC_00001927	0.2727	KOfam	No	0
large subunit ribosomal protein L37e	2.75778916902892	0.251856805652167	1	Ferroplasma_c	K02922	GC_00001857	0.2727	KOfam	No	0
starch synthase (maltosyl-transferring) [EC:2.4.99.16]	2.24561337770125	0.325365312694722	1	MAG00006	K16147	GC_00001699	0.3636	KOfam	No	0
taurine---2-oxoglutarate transaminase [EC:2.6.1.55]	2.24561337770125	0.325365312694722	1	MAG00006	K15372	GC_00001546	0.3636	KOfam	No	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]	2.24561337770125	0.325365312694722	1	MAG00006	K02548	GC_00001685, GC_00002358, GC_00002455, GC_00002482	0.3636	KOfam	No	0
maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]	2.24561337770125	0.325365312694722	1	MAG00006	K05343	GC_00001642	0.3636	KOfam	No	0
putative protease [EC:3.4.-.-]	2.24561337770125	0.325365312694722	1	MAG00006	K08303	GC_00001687	0.3636	KOfam	No	0
glycolate oxidase [EC:1.1.3.15]	2.24561337770125	0.325365312694722	1	MAG00006	K00104	GC_00001721	0.3636	KOfam	No	0
type I restriction enzyme, S subunit [EC:3.1.21.3]	2.24561337770125	0.325365312694722	1	MAG00006	K01154	GC_00002919, GC_00003329, GC_00004041, GC_00004203, GC_00004324, GC_00004576	0.3636	KOfam	No	0
DNA-directed RNA polymerase subunit P [EC:2.7.7.6]	2.24561337770125	0.325365312694722	1	MAG00006	K03059	GC_00001603	0.3636	KOfam	No	0
1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	2.24561337770125	0.325365312694722	1	MAG00006	K00700	GC_00001682	0.3636	KOfam	No	0
diaminopimelate decarboxylase [EC:4.1.1.20]	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K01586	GC_00001608, GC_00001874	0.6364	KOfam	No	0
urocanate hydratase [EC:4.2.1.49]	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K01712	GC_00001392	0.6364	KOfam	No	0
sarcosine oxidase, subunit beta [EC:1.5.3.1]	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K00303	GC_00001403	0.6364	KOfam	No	0
putative resolvase	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K07450	GC_00000023, GC_00000925, GC_00001528	0.6364	KOfam	No	0
glycogen synthase [EC:2.4.1.11]	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K16150	GC_00001260	0.6364	KOfam	No	0
alcohol dehydrogenase [EC:1.1.1.-]	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K19954	GC_00001312	0.6364	KOfam	No	0
chorismate dehydratase [EC:4.2.1.151]	2.24561337770125	0.325365312694722	1	Ferroplasma_c, rest	K11782	GC_00001347	0.6364	KOfam	No	0
potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	2.24561337770125	0.325365312694722	1	MAG00006, rest	K01547	GC_00001640, GC_00001999	0.6364	KOfam	No	0
copper chaperone	2.24561337770125	0.325365312694722	1	MAG00006, rest	K07213	GC_00000926	0.6364	KOfam	No	0
potassium-transporting ATPase potassium-binding subunit	2.24561337770125	0.325365312694722	1	MAG00006, rest	K01546	GC_00001671, GC_00002003	0.6364	KOfam	No	0
potassium-transporting ATPase KdpC subunit	2.24561337770125	0.325365312694722	1	MAG00006, rest	K01548	GC_00001712, GC_00002001	0.6364	KOfam	No	0
mRNA interferase MazF [EC:3.1.-.-]	2.24561337770125	0.325365312694722	1	MAG00006, rest	K07171	GC_00001622, GC_00003112, GC_00004551, GC_00004847	0.6364	KOfam	No	0
trimeric autotransporter adhesin	2.24561337770125	0.325365312694722	1	MAG00006, rest	K21449	GC_00001220	0.6364	KOfam	No	0
type III restriction enzyme [EC:3.1.21.5]	2.24561337770125	0.325365312694722	1	Ferroplasma_c	K01156	GC_00002655, GC_00002867, GC_00002982, GC_00003434	0.3636	KOfam	No	0
DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	2.24561337770125	0.325365312694722	1	Ferroplasma_c	K00558	GC_00002089, GC_00004173, GC_00004340	0.3636	KOfam	No	0
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	2.24561337770125	0.325365312694722	1	Ferroplasma_c	K01596	GC_00001544	0.3636	KOfam	No	0
CRISPR-associated protein Cas2	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K09951	GC_00002262, GC_00002492, GC_00002718, GC_00003070, GC_00003939, GC_00003954, GC_00003986	0.4545	KOfam	No	0
aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359]	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K18125	GC_00001229	0.4545	KOfam	No	0
CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K19091	GC_00002136, GC_00002717, GC_00002989, GC_00003531, GC_00004542, GC_00004720	0.4545	KOfam	No	0
4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K14466	GC_00001435	0.4545	KOfam	No	0
CRISP-associated protein Cas1	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K15342	GC_00001866, GC_00002362, GC_00002376, GC_00002478, GC_00004304, GC_00004749	0.4545	KOfam	No	0
CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K07012	GC_00002371, GC_00002599, GC_00003058, GC_00003857, GC_00004128, GC_00004152, GC_00004803	0.4545	KOfam	No	0
dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K01790	GC_00001237	0.4545	KOfam	No	0
nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]	2.02628995224654	0.363075318912513	1	Ferroplasma_c, MAG00006	K10822	GC_00001482	0.4545	KOfam	No	0
plasmid segregation protein ParM	2.02628995224653	0.363075318912513	1	rest	K18640	GC_00001543	0.5455	KOfam	No	0
antitoxin HicB	2.02628995224653	0.363075318912513	1	rest	K18843	GC_00001393	0.5455	KOfam	No	0
methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	2.02602654360003	0.363123140650776	1	Ferroplasma_c	K00567	GC_00001598	0.4545	KOfam	No	0
tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	2.02602654360003	0.363123140650776	1	Ferroplasma_c	K15256	GC_00001653, GC_00002488	0.4545	KOfam	No	0
indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	2.02602654360003	0.363123140650776	1	Ferroplasma_c	K00180	GC_00002139, GC_00002378, GC_00002759	0.4545	KOfam	No	0
protease I [EC:3.5.1.124]	2.02602654360003	0.363123140650776	1	Ferroplasma_c, rest	K05520	GC_00001410	0.5455	KOfam	No	0
L-rhamnose mutarotase [EC:5.1.3.32]	2.02602654360003	0.363123140650776	1	Ferroplasma_c	K03534	GC_00002193, GC_00002225	0.4545	KOfam	No	0
aspartate racemase [EC:5.1.1.13]	2.02602654360003	0.363123140650776	1	Ferroplasma_c, rest	K01779	GC_00001297	0.5455	KOfam	No	0
indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	2.02602654360003	0.363123140650776	1	Ferroplasma_c	K00179	GC_00001503	0.4545	KOfam	No	0
tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	2.02602654360003	0.363123140650776	1	Ferroplasma_c, rest	K18828	GC_00001566, GC_00002484, GC_00002791	0.5455	KOfam	No	0
phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	2.02602654360003	0.363123140650776	1	MAG00006, rest	K00390	GC_00001916, GC_00002606, GC_00003384	0.5455	KOfam	No	0
peptide/nickel transport system substrate-binding protein	2.02602654360003	0.363123140650776	1	MAG00006, rest	K02035	GC_00001486, GC_00002552, GC_00002726, GC_00004002	0.5455	KOfam	No	0
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:3.6.4.12]	2.02602654360003	0.363123140650776	1	MAG00006, rest	K14440	GC_00001606, GC_00002515, GC_00004327	0.5455	KOfam	No	0
D-galactarolactone cycloisomerase [EC:5.5.1.27]	2.02602654360003	0.363123140650776	1	MAG00006	K18983	GC_00001550	0.4545	KOfam	No	0
type I restriction enzyme M protein [EC:2.1.1.72]	2.02602654360003	0.363123140650776	1	MAG00006	K03427	GC_00001629, GC_00001700	0.4545	KOfam	No	0
carnitine-CoA ligase [EC:6.2.1.48]	2.02602654360003	0.363123140650776	1	MAG00006	K02182	GC_00001471	0.4545	KOfam	No	0
multiple sugar transport system permease protein	2.02602654360003	0.363123140650776	1	MAG00006	K02026	GC_00001918, GC_00001938, GC_00001948	0.4545	KOfam	No	0
galactonate dehydratase [EC:4.2.1.6]	2.02602654360003	0.363123140650776	1	MAG00006	K01684	GC_00001291	0.4545	KOfam	No	0
trehalose transport system substrate-binding protein	2.02602654360003	0.363123140650776	1	MAG00006	K17311	GC_00001469	0.4545	KOfam	No	0
penicillin G amidase [EC:3.5.1.11]	2.02602654360003	0.363123140650776	1	MAG00006	K01434	GC_00001499	0.4545	KOfam	No	0
trehalose transport system ATP-binding protein	2.02602654360003	0.363123140650776	1	MAG00006	K17314	GC_00001485	0.4545	KOfam	No	0
L-iditol 2-dehydrogenase [EC:1.1.1.14]	2.02602654360003	0.363123140650776	1	MAG00006	K00008	GC_00001522	0.4545	KOfam	No	0
iron complex transport system substrate-binding protein	2.02602654360003	0.363123140650776	1	MAG00006	K02016	GC_00001738, GC_00002360	0.4545	KOfam	No	0
trehalose transport system permease protein	2.02602654360003	0.363123140650776	1	MAG00006	K17313	GC_00001458, GC_00001508	0.4545	KOfam	No	0
putative ATP-dependent endonuclease of the OLD family	1.47704261787001	0.477819941473389	1	rest	K07459	GC_00002583, GC_00002645, GC_00004331, GC_00004874	0.4545	KOfam	No	0
HTH-type transcriptional regulator / antitoxin HigA	1.47704261787001	0.477819941473389	1	rest	K18831	GC_00001689, GC_00003483	0.4545	KOfam	No	0
small subunit ribosomal protein S14	1.47704261787001	0.477819941473389	1	rest	K02954	GC_00001615	0.4545	KOfam	No	0
xylulokinase [EC:2.7.1.17]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K00854	GC_00001744, GC_00001975, GC_00003059	0.5455	KOfam	No	0
dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K01710	GC_00001309	0.5455	KOfam	No	0
acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K21417	GC_00001208	0.5455	KOfam	No	0
kynureninase [EC:3.7.1.3]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K01556	GC_00001322	0.5455	KOfam	No	0
large subunit ribosomal protein L24e	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K02896	GC_00001340	0.5455	KOfam	No	0
glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K00973	GC_00001476, GC_00002153, GC_00003744, GC_00004050	0.5455	KOfam	No	0
alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K13953	GC_00001442, GC_00002047, GC_00003557	0.5455	KOfam	No	0
dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K00067	GC_00001375, GC_00003043, GC_00003509	0.5455	KOfam	No	0
L-rhamnonate dehydratase [EC:4.2.1.90]	1.47704261787001	0.477819941473389	1	Ferroplasma_c, MAG00006	K12661	GC_00001303	0.5455	KOfam	No	0
peptide/nickel transport system ATP-binding protein	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K02031	GC_00001500, GC_00001514, GC_00002575	0.6364	KOfam	No	0
maleate isomerase [EC:5.2.1.1]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K01799	GC_00001378, GC_00002204, GC_00004245	0.6364	KOfam	No	0
L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K18337	GC_00001244	0.6364	KOfam	No	0
ribokinase [EC:2.7.1.15]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K00852	GC_00001255	0.6364	KOfam	No	0
MFS transporter, DHA3 family, macrolide efflux protein	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K08217	GC_00001624, GC_00001773, GC_00001802, GC_00001996, GC_00002176, GC_00003575, GC_00004675	0.6364	KOfam	No	0
cytochrome c oxidase assembly protein subunit 15	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K02259	GC_00001205	0.6364	KOfam	No	0
cytochrome c oxidase subunit II [EC:7.1.1.9]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K02275	GC_00001222	0.6364	KOfam	No	0
MFS transporter, SP family, inositol transporter	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K06610	GC_00001473, GC_00001636	0.6364	KOfam	No	0
membrane-bound serine protease (ClpP class)	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K07403	GC_00001311	0.6364	KOfam	No	0
tricorn protease [EC:3.4.21.-]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K08676	GC_00001219	0.6364	KOfam	No	0
4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K14534	GC_00001102, GC_00002458	0.6364	KOfam	No	0
potassium/hydrogen antiporter	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K11105	GC_00001206	0.6364	KOfam	No	0
nonsense-mediated mRNA decay protein 3	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K07562	GC_00001301	0.6364	KOfam	No	0
anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K04034	GC_00001026	0.6364	KOfam	No	0
alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K00830	GC_00001387, GC_00003027	0.6364	KOfam	No	0
arginine deiminase [EC:3.5.3.6]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K01478	GC_00001326, GC_00001786	0.6364	KOfam	No	0
NAD+ synthase [EC:6.3.1.5]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K01916	GC_00001321	0.6364	KOfam	No	0
RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	1.05036799281503	0.591446530317769	1	Ferroplasma_c, MAG00006	K01975	GC_00001509, GC_00001767, GC_00003482	0.6364	KOfam	No	0
mRNA interferase HicA [EC:3.1.-.-]	1.05036799281503	0.591446530317769	1	rest	K07339	GC_00001660, GC_00003056	0.3636	KOfam	No	0
phospholipase C [EC:3.1.4.3]	1.05036799281503	0.591446530317769	1	rest	K01114	GC_00001756	0.3636	KOfam	No	0
formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]	1.05036799281503	0.591446530317769	1	rest	K11261	GC_00002251, GC_00002998	0.3636	KOfam	No	0
proline iminopeptidase [EC:3.4.11.5]	1.05036799281503	0.591446530317769	1	rest	K01259	GC_00001777	0.3636	KOfam	No	0
anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	1.05036799281503	0.591446530317769	1	rest	K00198	GC_00001761	0.3636	KOfam	No	0
CRISPR-associated protein Csa3	1.05036799281503	0.591446530317769	1	rest	K07725	GC_00001801, GC_00004870	0.3636	KOfam	No	0
CO dehydrogenase maturation factor	1.05036799281503	0.591446530317769	1	rest	K07321	GC_00001762	0.3636	KOfam	No	0
malate synthase [EC:2.3.3.9]	0.708998731027544	0.701524562698999	1	rest	K01638	GC_00002181	0.2727	KOfam	No	0
malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	0.708998731027544	0.701524562698999	1	rest	K00140	GC_00001545	0.2727	KOfam	No	0
dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	0.708998731027544	0.701524562698999	1	rest	K00729	GC_00001911	0.2727	KOfam	No	0
alpha-L-rhamnosidase [EC:3.2.1.40]	0.708998731027544	0.701524562698999	1	rest	K05989	GC_00002037	0.2727	KOfam	No	0
aminomethyltransferase [EC:2.1.2.10]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K00605	GC_00001253	0.7273	KOfam	No	0
long-chain acyl-CoA synthetase [EC:6.2.1.3]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K01897	GC_00000051	0.7273	KOfam	No	0
sulfate adenylyltransferase [EC:2.7.7.4]	0.708998731027544	0.701524562698999	1	rest	K00958	GC_00002480, GC_00003756	0.2727	KOfam	No	0
programmed cell death protein 5	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K06875	GC_00001202	0.7273	KOfam	No	0
RNA-binding protein	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K07569	GC_00001182	0.7273	KOfam	No	0
5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K00772	GC_00001160	0.7273	KOfam	No	0
aminodeoxyfutalosine synthase [EC:2.5.1.120]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K18285	GC_00001155	0.7273	KOfam	No	0
small subunit ribosomal protein S3Ae	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K02984	GC_00001078	0.7273	KOfam	No	0
1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K11785	GC_00001201	0.7273	KOfam	No	0
MFS transporter, DHA1 family, multidrug resistance protein B	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K08152	GC_00001179	0.7273	KOfam	No	0
solute:Na+ symporter, SSS family	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K03307	GC_00001231	0.7273	KOfam	No	0
modification methylase	0.708998731027544	0.701524562698999	1	rest	K24451	GC_00002390, GC_00003301	0.2727	KOfam	No	0
glucose/arabinose transport system substrate-binding protein	0.708998731027544	0.701524562698999	1	rest	K10196	GC_00001584, GC_00003720	0.2727	KOfam	No	0
acyl-CoA thioesterase YciA [EC:3.1.2.-]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K10806	GC_00001249	0.7273	KOfam	No	0
3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0.708998731027544	0.701524562698999	1	rest	K00052	GC_00002247	0.2727	KOfam	No	0
phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K01933	GC_00001218	0.7273	KOfam	No	0
cytochrome c oxidase subunit I+III [EC:7.1.1.9]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K15408	GC_00000981	0.7273	KOfam	No	0
adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K07317	GC_00002072, GC_00002109, GC_00002227, GC_00002356, GC_00002693, GC_00003423, GC_00004580, GC_00004649, GC_00004845, GC_00004934	0.7273	KOfam	No	0
asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K01953	GC_00001085	0.7273	KOfam	No	0
TetR/AcrR family transcriptional regulator, biofilm operon repressor	0.708998731027544	0.701524562698999	1	rest	K21453	GC_00002005	0.2727	KOfam	No	0
acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]	0.708998731027544	0.701524562698999	1	rest	K10804	GC_00001935	0.2727	KOfam	No	0
2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K13236	GC_00001184	0.7273	KOfam	No	0
L-histidine Nalpha-methyltransferase [EC:2.1.1.44]	0.708998731027544	0.701524562698999	1	rest	K18911	GC_00002156	0.2727	KOfam	No	0
ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]	0.708998731027544	0.701524562698999	1	rest	K05521	GC_00002257	0.2727	KOfam	No	0
precorrin-3B C17-methyltransferase [EC:2.1.1.131]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K05934	GC_00001248	0.7273	KOfam	No	0
lactate 2-monooxygenase [EC:1.13.12.4]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K00467	GC_00001042	0.7273	KOfam	No	0
vacuolar iron transporter family protein	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K22736	GC_00001116	0.7273	KOfam	No	0
phosphosulfolactate synthase [EC:4.4.1.19]	0.708998731027544	0.701524562698999	1	rest	K08097	GC_00002584, GC_00003183	0.2727	KOfam	No	0
type I restriction enzyme, R subunit [EC:3.1.21.3]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K01153	GC_00000753, GC_00002191, GC_00002582, GC_00003132	0.7273	KOfam	No	0
chromosome partitioning protein	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K03496	GC_00001197, GC_00002544	0.7273	KOfam	No	0
AdoMet-dependent heme synthase [EC:1.3.98.6]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K22227	GC_00001153	0.7273	KOfam	No	0
STE24 endopeptidase [EC:3.4.24.84]	0.708998731027544	0.701524562698999	1	rest	K06013	GC_00002027	0.2727	KOfam	No	0
bisanhydrobacterioruberin hydratase [EC:4.2.1.161]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K08977	GC_00000942	0.7273	KOfam	No	0
tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K07442	GC_00001243	0.7273	KOfam	No	0
allantoinase [EC:3.5.2.5]	0.708998731027544	0.701524562698999	1	rest	K16842	GC_00002080	0.2727	KOfam	No	0
ATP-binding protein involved in chromosome partitioning	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K03593	GC_00001061	0.7273	KOfam	No	0
gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]	0.708998731027544	0.701524562698999	1	rest	K18912	GC_00002130	0.2727	KOfam	No	0
5-methylcytosine-specific restriction enzyme subunit McrC	0.708998731027544	0.701524562698999	1	rest	K19147	GC_00002663, GC_00004927	0.2727	KOfam	No	0
glucose/arabinose transport system permease protein	0.708998731027544	0.701524562698999	1	rest	K10198	GC_00002131, GC_00002240	0.2727	KOfam	No	0
Fe-S cluster assembly ATP-binding protein	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K09013	GC_00001178	0.7273	KOfam	No	0
pyruvate formate lyase activating enzyme [EC:1.97.1.4]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K04069	GC_00001174	0.7273	KOfam	No	0
glutamyl-tRNA reductase [EC:1.2.1.70]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K02492	GC_00001167	0.7273	KOfam	No	0
glucokinase [EC:2.7.1.2]	0.708998731027544	0.701524562698999	1	Ferroplasma_c, MAG00006	K00845	GC_00001196	0.7273	KOfam	No	0
argininosuccinate synthase [EC:6.3.4.5]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01940	GC_00001073	0.8182	KOfam	No	0
peptide/nickel transport system permease protein	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02033	GC_00001348, GC_00001424, GC_00001501, GC_00001817, GC_00001973, GC_00002085, GC_00002347, GC_00002563, GC_00002661, GC_00003442, GC_00003879, GC_00004012, GC_00004271	0.8182	KOfam	No	0
pyridoxine 4-dehydrogenase [EC:1.1.1.65]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K05275	GC_00001128, GC_00001475	0.8182	KOfam	No	0
thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03564	GC_00001083, GC_00002742	0.8182	KOfam	No	0
large subunit ribosomal protein L10e	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02866	GC_00001084	0.8182	KOfam	No	0
molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K07141	GC_00001586, GC_00001853, GC_00004594	0.8182	KOfam	No	0
CBS domain-containing protein	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K07182	GC_00000973	0.8182	KOfam	No	0
aldose 1-epimerase [EC:5.1.3.3]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01785	GC_00000661, GC_00002400, GC_00002831, GC_00003877	0.8182	KOfam	No	0
