KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_rest	p_MAG00006	N_Ferroplasma_c	N_rest	N_MAG00006
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Glyoxylate cycle!!!Methylaspartate cycle!!!CAM (Crassulacean acid metabolism), dark!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate!!!Formaldehyde assimilation, serine pathway!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00011!!!M00012!!!M00740!!!M00168!!!M00173!!!M00374!!!M00620!!!M00346!!!M00614	GC_00000657	1	1	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!3-Hydroxypropionate bi-cycle!!!Dicarboxylate-hydroxybutyrate cycle!!!Succinate dehydrogenase, prokaryotes!!!Anoxygenic photosynthesis in green nonsulfur bacteria!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00011!!!M00173!!!M00376!!!M00374!!!M00149!!!M00613!!!M00614	GC_00000238, GC_00000833, GC_00003791	1	1	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00011!!!M00173!!!M00620!!!M00614	GC_00000075, GC_00000103, GC_00000161, GC_00000668	1	1	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Succinate dehydrogenase, prokaryotes	0	1	1	NA	M00009!!!M00011!!!M00149	GC_00000528	1	1	1	1	11	1
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00925	GC_00000275	1	1	1	1	11	1
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	0	1	1	NA	M00924	GC_00000154, GC_00001451, GC_00001835, GC_00003147	1	1	1	1	11	1
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide!!!Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00924!!!M00925	GC_00000068, GC_00000405, GC_00000570, GC_00000834, GC_00001148, GC_00001248, GC_00001383, GC_00001805, GC_00001946, GC_00003644, GC_00003935	1	1	1	1	11	1
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	0	1	1	NA	M00122	GC_00000132, GC_00000201, GC_00000684, GC_00000799, GC_00004440	1	1	1	1	11	1
Coenzyme A biosynthesis, pantothenate => CoA!!!Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	0	1	1	NA	M00120!!!M00914	GC_00000312, GC_00000725, GC_00003029	1	1	1	1	11	1
Cysteine biosynthesis, methionine => cysteine!!!Methionine salvage pathway!!!Methionine degradation!!!Ethylene biosynthesis, methionine => ethylene	0	1	1	NA	M00609!!!M00034!!!M00035!!!M00368	GC_00000495	1	1	1	1	11	1
