contig	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
c_000000004307	1515.9903901046623	2089.3669521091024	257.06466856961623
c_000000004309	10.344497607655502	0.090311004784689	0
c_000000004319	140.6124889282551	0.6687333923826395	0
c_000000004333	1.4406678592725104	122.07692307692308	0
c_000000004342	1457.6579155374886	1992.8765808491419	263.1958559168925
c_000000004355	10.207515423443635	0	0
c_000000004371	4.289126559714795	11.66017825311943	0
c_000000004382	14.446840148698884	0	0
c_000000004387	56.416154521510094	64.15452151009657	1.0535557506584723
c_000000004389	68.2456080504861	2409.146426743988	0
c_000000004393	12.661914460285132	0	0.20366598778004075
c_000000004404	1.1123388581952118	2.363720073664825	0
c_000000004406	6.86986301369863	0	0.28180039138943247
c_000000004415	13.417733089579524	0	0
c_000000004419	3.6238125395820138	6.019632678910703	0
c_000000004427	21.96376419686317	0.05444384351901929	0
c_000000004449	3.217410814449181	12.376570563159076	0
c_000000004450	13.845263777211217	0.059227299470484406	0
c_000000004475	63.19834384858044	105.22082018927445	0.4720031545741325
c_000000004487	8.575545171339565	0	0
c_000000004504	23.427860696517413	750.4491826581378	0
c_000000004518	3.2189922480620154	60.54457364341085	0
c_000000004549	12.918315900368727	70.42572804575212	0
c_000000004554	8.586803574824112	488.812892184826	0
c_000000004567	15.519194580353782	0.05683101242002258	0
c_000000004572	3.133438402941949	86.94969792487522	0
c_000000004586	1.3694945314809341	28.307123854566953	0
c_000000004605	15.003538257408227	0.06678460858027421	0
c_000000004626	10.019880715705765	0	0
c_000000004637	8.639506172839507	244.37201646090534	0
c_000000004653	7.9569230769230765	0	0
c_000000004656	50.76281552894832	0.046960037319234954	0
c_000000004665	0.2323076923076923	9.218717948717948	0
c_000000004671	9.239880952380952	0	0.35714285714285715
c_000000004685	20.619631901840492	758.2631901840491	0
c_000000004701	6.846257359125316	7.858031959629941	0
c_000000004720	2.6890448581019224	17.9896246566982	0
c_000000004747	2.6831194471865745	4.024679170779862	0
c_000000004763	10.057843996494304	0	0
c_000000004805	1.4076002082248829	3.747527329515877	0
c_000000004818	11.786031042128602	0	0
c_000000004840	10.228113440197287	0	0
c_000000004841	8.109744560075686	0.2857142857142857	0
c_000000004854	9.968155893536121	0	0
c_000000004862	7.782560706401766	0	0
c_000000004897	3.3609340305135733	25.240885323400903	0
c_000000004903	13497.331664212077	17113.36995581738	0
c_000000004908	0.9705908643961741	10.145883614910163	0
c_000000004942	13.412994772218074	0	0
c_000000004954	1.9503617363344052	49.27893890675241	0
c_000000004966	13.890421455938696	0	0
c_000000004971	1.3759539597147503	16.259852370824472	0
c_000000004981	10.692695214105793	0	0
c_000000005009	1.510857461024499	103.68708240534521	0
c_000000005043	6639.497822445561	8613.218090452261	0
c_000000005050	0.1935897435897436	16.31153846153846	0
c_000000005056	4.457368883680047	7.564898915909756	0.17579841781423966
c_000000005066	10.594134342478714	0	0
c_000000005068	0	3.475703324808184	0
c_000000005077	8.022645099904853	283.0254995242626	0
c_000000005078	0.6457590876692801	7.996436208125446	0
c_000000005081	19.2797507788162	744.602492211838	0
c_000000005102	3.8821638993036958	69.65827530798072	0
c_000000005134	13.480286738351255	0.18040621266427717	0
c_000000005136	0.695852534562212	7.422427035330261	0
c_000000005139	125.0484429065744	3276.5242214532873	0
c_000000005140	7.462561847168774	323.78460692688293	0
c_000000005149	2.908390410958904	2.456335616438356	0
c_000000005162	7.253012048192771	0	0
c_000000005170	9.36047234307023	0	0
c_000000005172	5.615074024226111	15.123822341857336	0
c_000000005180	0.8033126293995859	30.07690032534753	0
c_000000005194	12.45817120622568	0.29377431906614787	0.2918287937743191
c_000000005234	495.4875404403062	384.2546989663063	21.015323916988873
c_000000005253	1.6608615948670944	9.480293308890925	0
c_000000005265	4.3238707003729795	10.441773725652714	0
c_000000005278	21.426059979317476	43.41571871768356	0
c_000000005288	1.986842105263158	56.91776315789474	0
c_000000005295	10.968156424581005	0	0
c_000000005298	9.373540856031129	0	0
c_000000005301	10.919781221513217	0	0
c_000000005327	24.876882776686312	0	0.39161755075311067
c_000000005329	1.5740878629932986	6.740134028294862	0
c_000000005349	7.049230769230769	0	0
c_000000005355	87.89207920792079	2676.3356435643564	0
c_000000005375	5.875426621160409	0	0
c_000000005376	11.003908081913396	23.808347662967016	0
c_000000005380	11.053428317008015	0	0
c_000000005395	8.501340482573726	0	0
c_000000005400	3.001740644038294	182.1827676240209	0
c_000000005413	2.2078830260648443	21.363000635727907	0
c_000000005414	113.49741928954559	309.72189049691326	0
c_000000005420	98.72862880091796	429.03212851405624	0
c_000000005421	10.196531791907514	0	0
c_000000005422	124.71286513362337	67.61155997513984	0
c_000000005432	5.274143302180685	14.954309449636552	0
c_000000005433	10.984877126654064	18.16162570888469	0
c_000000005440	76.38991389913899	2749.1949962052813	0
c_000000005447	2.78578110383536	6.567820392890552	0
c_000000005455	7.207872078720787	0.1857318573185732	0
c_000000005467	16.713149274684138	0	0
c_000000005491	9.25925925925926	0.2214888155482215	0
c_000000005493	0.2592274678111588	6.539484978540773	0
c_000000005501	1.1652051911609962	3.79551034724658	0
c_000000005502	3.9706092167213582	23.737623056070767	0
c_000000005505	272.505007369336	459.6492196062129	1.3589055591247496
c_000000005507	98.21230624706435	60.84124001878816	0
c_000000005514	3.6953586497890294	29.369620253164555	0
c_000000005525	4.274771024146545	175.8301415487094	0
c_000000005545	1415.057153141623	2046.6229652441707	275.56773187217533
c_000000005547	11.015139442231076	0	0
c_000000005553	4.174069260759881	9.564329944193869	0
c_000000005557	17.632415960384726	5.157032663555852	0
c_000000005567	12.686150409530901	0	0
c_000000005590	11.093654563963353	473.9256871394639	0
c_000000005597	28.82221301284708	46.2486531288852	3.531496062992126
c_000000005615	14.490513833992095	587.1193675889328	0
c_000000005622	16.96123260437376	0	0
c_000000005638	2.1768687463213654	8.892583872866393	0
c_000000005651	0.15507169410515134	7.648964418481147	0
c_000000005656	4.265190972222222	10.608072916666666	0.064453125
c_000000005660	16.059294871794872	0.0967948717948718	0
c_000000005695	9.060428849902534	0	0
c_000000005699	9.996941896024465	0.15392456676860347	0
c_000000005716	2.7701492537313435	91.17014925373134	0
c_000000005721	30.13623188405797	0	0
c_000000005729	9.951385116784357	0	0
c_000000005730	16.291184327693678	0	0
c_000000005738	0.5353717026378897	27.735611510791365	0
c_000000005770	3.5310374149659864	2.4285714285714284	0
c_000000005780	5.356417359187442	2.509695290858726	0
c_000000005799	13.320127504553733	0	0
c_000000005817	5.1572696807572465	10.830619084014346	0
